127.0.0.1 - - [15/May/2019:09:29:21 -0300] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [15/May/2019:09:29:59 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/produtos/detalhe/30 HTTP/1.1" 200 8502
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/layout-colors.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/fonts.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/fontello.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/produtos.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/responsive-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:30:01 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/produtos/detalhe/30 HTTP/1.1" 200 8384
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:23 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:31:25 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/produtos/detalhe/31 HTTP/1.1" 200 8384
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:32:46 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/30 HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/fonts.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/cssbase-min.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/layout-colors.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/fontello.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/fontello-ie7.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/fontello-embedded.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/responsive-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [15/May/2019:09:34:27 -0300] "GET /casadocodigo/produtos/detalhe/resources/css/produtos.css HTTP/1.1" 404 1059
